Name,ID,Icon,Common,Class,Typology,Family,Primitive,Dual,Specificity,Discretizable,Sortable,Control,Font,Formatter,Renderer,Description,Example
Age,age,mdi-av-timer,FALSE,discrete,horometrical,chronical,INTEGER,duration,13,FALSE,TRUE,integer,monospace,duration,,Sectorial variable which values are chronical,3 years
Angle,angle,mdi-compass,FALSE,continuous,angular,directional,DOUBLE,sector,11,FALSE,TRUE,number,monospace,number,directional,Percent variable which values are directional,57.2958°
Array,array,mdi-code-brackets,FALSE,structural,vectorial,structural,LIST,,10,FALSE,FALSE,array,monospace,custom,array,Structural variable which instances hold multiple values of the same datatype,"[1, 2, 3]"
Boolean,boolean,mdi-toggle-switch-outline,TRUE,discrete,boolean,logical,BOOLEAN,,1,FALSE,FALSE,boolean,monospace,default,boolean,Discrete variable which values are either true or false,"true, false"
Category,category,mdi-format-list-bulleted,TRUE,discrete,categorical,categorical,VARCHAR,,6,FALSE,FALSE,string,regular,default,category,Discrete variable used for categorization or classification,"Red, Green, Blue"
Color,color,mdi-palette-swatch-outline,FALSE,discrete,nominal,media,VARCHAR,,15,FALSE,FALSE,color,monospace,default,color,Color name or code,"blue, #0000FF, rgb(0,0,255)"
Date,date,mdi-calendar,TRUE,discrete,calendar,chronological,DATE,,12,TRUE,TRUE,date,monospace,date,date,Incremental variable which values are chronological with a day periodicity,"March 31, 2012"
Duration,duration,mdi-timelapse,FALSE,continuous,chronometrical,chronical,INTEGER,age,14,FALSE,TRUE,number,monospace,duration,duration,Angular variable which values are chronical,"1 minute, 1h30, 1 year and 5 months"
Expression,expression,mdi-function,FALSE,discrete,textual,formulaic,VARCHAR,,15,FALSE,FALSE,expression,monospace,default,,Computing expression,"CONCATENATE('Hello ', 'World!')"
Fraction,fraction,mdi-battery-50,FALSE,discrete,fractional,absolute,DOUBLE,percent,9,FALSE,TRUE,number,monospace,number,fraction,Cardinal variable which range of possible values is bounded,"¼, ½, ¾"
Geofeature,geofeature,mdi-map-marker-path,FALSE,structural,geospatial,geospatial,VARCHAR,,15,FALSE,FALSE,geofeature,monospace,custom,geospatial,Geospatial shape (line or polygon) or set of geofeature defined as sets of geopoints,"{""type"":""Polygon"", ""coordinates"":[[[-122.160407, 37.447476], [-122.161483, 37.446528], [-122.162298, 37.447015]]]}"
Geoline,geoline,mdi-vector-polyline,FALSE,structural,geospatial,geospatial,VARCHAR,,15,FALSE,FALSE,geoline,monospace,custom,geospatial,Geospatial line or set of lines defined as sets of geopoints,"{""type"":""LineString"", ""coordinates"":[[[-122.160407, 37.447476], [-122.161483, 37.446528]]]}"
Geopoint,geopoint,mdi-map-marker,FALSE,structural,geospatial,geospatial,VARCHAR,,15,FALSE,FALSE,geopoint,monospace,geopoint,geospatial,"Geospatial point defined with a latitude, a longitude, and an optional elevation","[37.447476, -122.160407]"
